Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Ohio State University-Lima Campus,19,28,94,4003,41,4172,,,1018,41
Ohio State University-Main Campus,59,76,82,10273,17,4535,27037,46141,59837,11
Ohio University-Main Campus,45,54,94,6489,28,4320,27242,36706,29369,32
Oklahoma Panhandle State University,29,23,97,5016,59,3916,14080,14080,1138,42
Oklahoma State University-Main Campus,39,48,91,9878,28,4757,23648,38686,25295,32
Old Dominion University,27,48,93,7692,45,4724,25594,43444,24375,12
Oregon Institute of Technology,21,50,88,6119,32,4305,23708,42093,5486,33
Oregon State University,37,59,86,8170,24,4453,26216,44706,30896,13
Oregon State University-Cascades Campus,,,83,6805,39,4610,25023,43998,1204,13
Pennsylvania State University-Main Campus,66,77,65,10107,13,4566,36344,51572,47119,13
Pennsylvania State University-Penn State Abington,30,49,72,8089,39,4846,32424,40466,3893,21
Pennsylvania State University-Penn State Altoona,44,55,81,7821,29,4493,33098,41600,3482,13
Pennsylvania State University-Penn State Beaver,27,39,91,7378,41,4676,31602,39236,655,21
Pennsylvania State University-Penn State Berks,39,52,82,7014,30,4401,33098,41600,2719,21
Pennsylvania State University-Penn State Brandywine,27,40,87,7640,36,4614,32368,40286,1438,21
Pennsylvania State University-Penn State Erie-Behrend College,45,54,78,7166,27,4269,33098,41600,4502,22
Pennsylvania State University-Penn State Fayette- Eberly,23,44,96,6647,44,4743,,,652,23
Pennsylvania State University-Penn State Greater Allegheny,26,35,93,7775,44,4520,31602,39236,497,21
Pennsylvania State University-Penn State Harrisburg,40,57,73,6506,26,4669,33098,41600,5077,21
Pennsylvania State University-Penn State Hazleton,31,49,93,7964,48,4423,32368,40286,755,23
Pennsylvania State University-Penn State Lehigh Valley,44,70,88,8001,44,4551,,,919,21
Pennsylvania State University-Penn State Mont Alto,35,41,94,7379,35,4246,31602,39236,917,31
Pennsylvania State University-Penn State New Kensington,34,29,95,6396,29,4790,,,595,41
Pennsylvania State University-Penn State Schuylkill,26,42,94,8694,55,4894,32306,40224,732,32
Pennsylvania State University-Penn State Scranton,19,39,89,7701,42,4720,,,1029,21
Pennsylvania State University-Penn State Wilkes-Barre,36,43,95,7535,39,4356,,,467,41
Pennsylvania State University-Penn State York,31,43,66,6551,20,4628,,,983,22
Pennsylvania State University-World Campus,15,27,72,6294,42,4725,,,14301,41
Peru State College,15,22,97,5095,54,4661,19052,19052,2349,42
Pittsburg State University,26,36,93,4426,39,4462,19566,30618,6907,32
Plymouth State University,41,50,99,7346,33,4214,28314,36774,5046,33
Portland State University,21,47,84,7760,53,4499,,,26693,11
Prairie View A & M University,12,31,95,12586,71,5070,23750,37279,9219,32
Purdue University Fort Wayne,13,32,90,8013,46,4455,21801,33476,10414,11
Purdue University Global-Augusta,0,25,100,,0,,,,469,32
Purdue University Global-Cedar Falls,,28,100,10493,100,7893,,,245,13
Purdue University Global-Cedar Rapids,,37,,,,,,,470,12
Purdue University Global-Davenport,14,46,25,3654,25,3454,,,33287,12
Purdue University Global-Hagerstown,0,0,,,,,,,564,22
Purdue University Global-Indianapolis,,,,,,,,,603,11
Purdue University Global-Lewiston,29,37,,,,,,,627,13
Purdue University Global-Lincoln,0,29,,,,,,,296,11
Purdue University Global-Mason City,,71,,,,,,,167,33
Purdue University Global-Milwaukee,,,,,,,,,346,11
Purdue University Global-Omaha,,29,100,8093,100,7893,,,458,11
Purdue University Global-St. Louis,,0,,,,,,,327,21
Purdue University Northwest,16,30,86,7608,43,4566,22547,32094,12071,21
Purdue University-Main Campus,55,73,69,10524,17,4503,22812,41614,42699,13
Radford University,41,57,86,7917,41,4476,23249,35331,9418,13
Ramapo College of New Jersey,59,70,81,12020,29,4893,30839,39973,6120,21
Rhode Island College,20,45,90,7556,57,4760,22952,35465,8171,21
Rogers State University,18,17,96,5281,53,4601,21830,30170,3728,31
Rowan University,49,61,84,9523,33,4712,31058,39526,18484,21
Rutgers University-Camden,31,52,94,14078,53,4929,31082,46505,6853,13
Rutgers University-New Brunswick,61,78,69,14107,27,4976,31577,47518,49577,13
Rutgers University-Newark,34,66,85,13883,61,5133,31838,47779,12768,11
Saginaw Valley State University,12,36,95,6450,36,4449,21849,35093,8617,22
Saint Cloud State University,19,38,86,5553,40,4415,20686,28920,14975,13
Salem State University,37,57,90,7096,42,4743,26224,32652,8702,21
